"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,0,0.00
0.100,0.00000,1,0.00
0.150,0.00000,1,0.00
0.200,0.00000,1,0.00
0.250,0.00000,0,0.00
0.300,0.00000,1,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.00
0.550,0.00000,0,0.00
0.600,0.00000,1,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,1,0.00
0.800,0.00000,1,0.00
0.850,0.00000,0,0.00
0.900,0.00000,1,0.00
0.950,0.00000,1,0.00
1.000,0.00000,1,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.13
1.150,0.00000,1,0.38
1.200,6.35000E-7,1,0.64
1.250,1.27000E-6,3,0.76
1.300,1.90500E-6,4,0.64
1.350,2.54000E-6,5,0.51
1.400,2.54000E-6,5,0.38
1.450,3.17500E-6,6,0.25
1.500,3.17500E-6,5,0.25
1.550,3.17500E-6,6,0.38
1.600,3.81000E-6,7,0.63
1.650,4.44500E-6,7,0.76
1.700,5.08000E-6,8,0.63
1.750,5.71500E-6,9,0.38
1.800,5.71500E-6,8,0.25
1.850,5.71500E-6,9,0.25
1.900,6.35000E-6,9,0.38
1.950,6.35000E-6,10,0.38
2.000,6.98500E-6,11,0.25
2.050,6.98500E-6,10,0.25
2.100,6.98500E-6,10,0.25
2.150,7.62000E-6,11,0.38
2.200,7.62000E-6,11,0.38
2.250,8.25500E-6,11,0.38
2.300,8.25500E-6,12,0.38
2.350,8.89000E-6,12,0.38
2.400,8.89000E-6,13,0.38
2.450,9.52500E-6,13,0.25
2.500,9.52500E-6,14,0.25
2.550,9.52500E-6,14,0.25
2.600,1.01600E-5,14,0.38
2.650,1.01600E-5,14,0.51
2.700,1.07950E-5,15,0.51
2.750,1.14300E-5,17,0.51
2.800,1.14300E-5,17,0.51
2.850,1.20650E-5,16,0.51
2.900,1.27000E-5,17,0.51
2.950,1.27000E-5,17,0.38
3.000,1.33350E-5,18,0.38
3.050,1.33350E-5,18,0.38
3.100,1.39700E-5,19,0.38
3.150,1.39700E-5,19,0.38
3.200,1.46050E-5,21,0.25
3.250,1.46050E-5,21,0.25
3.300,1.46050E-5,21,0.25
3.350,1.52400E-5,21,0.38
3.400,1.52400E-5,22,0.38
3.450,1.58750E-5,22,0.38
3.500,1.58750E-5,22,0.38
3.550,1.65100E-5,22,0.25
3.600,1.65100E-5,23,0.25
3.650,1.65100E-5,24,0.25
3.700,1.71450E-5,24,0.25
3.750,1.71450E-5,24,0.13
3.800,1.71450E-5,24,0.13
3.850,1.71450E-5,25,0.25
3.900,1.77800E-5,25,0.25
3.950,1.77800E-5,25,0.13
4.000,1.77800E-5,26,0.13
4.050,1.77800E-5,25,0.25
4.100,1.84150E-5,26,0.25
4.150,1.84150E-5,26,0.13
4.200,1.84150E-5,26,0.13
4.250,1.84150E-5,27,0.25
