"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,1,0.00
0.100,0.00000,1,0.00
0.150,0.00000,1,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,1,0.00
0.350,0.00000,1,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,1,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,1,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,1,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,1,0.00
1.500,0.00000,1,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,1,0.00
1.700,0.00000,1,0.00
1.750,0.00000,0,0.00
1.800,0.00000,1,0.00
1.850,0.00000,0,0.00
1.900,0.00000,0,0.00
1.950,0.00000,1,0.00
2.000,0.00000,0,0.00
2.050,0.00000,0,0.00
2.100,0.00000,0,0.00
2.150,0.00000,0,0.00
2.200,0.00000,0,0.00
2.250,0.00000,0,0.00
2.300,0.00000,1,0.00
2.350,0.00000,0,0.13
2.400,0.00000,1,0.38
2.450,6.35000E-7,2,0.64
2.500,1.27000E-6,4,0.76
2.550,1.90500E-6,6,0.63
2.600,2.54000E-6,7,0.38
2.650,2.54000E-6,7,0.25
2.700,2.54000E-6,8,0.25
2.750,3.17500E-6,8,0.25
2.800,3.17500E-6,9,0.25
2.850,3.17500E-6,9,0.25
2.900,3.81000E-6,9,0.25
2.950,3.81000E-6,9,0.13
3.000,3.81000E-6,10,0.00
3.050,3.81000E-6,9,0.00
3.100,3.81000E-6,10,0.00
3.150,3.81000E-6,10,0.13
3.200,3.81000E-6,10,0.25
3.250,4.44500E-6,11,0.25
3.300,4.44500E-6,11,0.13
3.350,4.44500E-6,11,0.00
3.400,4.44500E-6,12,0.00
3.450,4.44500E-6,12,0.13
3.500,4.44500E-6,12,0.25
3.550,5.08000E-6,13,0.38
3.600,5.08000E-6,13,0.38
3.650,5.71500E-6,13,0.25
3.700,5.71500E-6,14,0.25
3.750,5.71500E-6,14,0.25
3.800,6.35000E-6,15,0.25
3.850,6.35000E-6,15,0.13
3.900,6.35000E-6,15,0.00
3.950,6.35000E-6,16,0.00
4.000,6.35000E-6,16,0.13
4.050,6.35000E-6,16,0.25
4.100,6.98500E-6,16,0.25
4.150,6.98500E-6,17,0.13
4.200,6.98500E-6,16,0.00
4.250,6.98500E-6,18,0.13
4.300,6.98500E-6,17,0.25
4.350,7.62000E-6,18,0.25
4.400,7.62000E-6,18,0.13
4.450,7.62000E-6,18,0.00
4.500,7.62000E-6,19,0.13
4.550,7.62000E-6,19,0.25
4.600,8.25500E-6,19,0.25
4.650,8.25500E-6,20,0.13
4.700,8.25500E-6,19,0.00
4.750,8.25500E-6,20,0.13
4.800,8.25500E-6,20,0.25
4.850,8.89000E-6,21,0.25
4.900,8.89000E-6,21,0.13
4.950,8.89000E-6,22,0.13
5.000,8.89000E-6,22,0.25
5.050,9.52500E-6,22,0.38
5.100,9.52500E-6,23,0.38
5.150,1.01600E-5,23,0.25
5.200,1.01600E-5,24,0.13
5.250,1.01600E-5,25,0.00
5.300,1.01600E-5,25,0.00
5.350,1.01600E-5,25,0.00
5.400,1.01600E-5,25,0.13
5.450,1.01600E-5,26,0.25
5.500,1.07950E-5,25,0.25
5.550,1.07950E-5,26,0.13
5.600,1.07950E-5,26,0.00
5.650,1.07950E-5,26,0.00
5.700,1.07950E-5,26,0.00
5.750,1.07950E-5,26,0.00
5.800,1.07950E-5,26,0.00
5.850,1.07950E-5,26,0.00
5.900,1.07950E-5,26,0.00
5.950,1.07950E-5,27,0.13
6.000,1.07950E-5,27,0.25
6.050,1.14300E-5,27,0.25
6.100,1.14300E-5,27,0.13
6.150,1.14300E-5,27,0.00
6.200,1.14300E-5,27,0.00
6.250,1.14300E-5,27,0.13
6.300,1.14300E-5,27,0.25
6.350,1.20650E-5,28,0.25
6.400,1.20650E-5,29,0.13
6.450,1.20650E-5,29,0.00
6.500,1.20650E-5,30,0.00
6.550,1.20650E-5,29,0.00
6.600,1.20650E-5,29,0.00
6.650,1.20650E-5,29,0.00
6.700,1.20650E-5,30,0.13
6.750,1.20650E-5,30,0.25
6.800,1.27000E-5,30,0.25
6.850,1.27000E-5,30,0.13
6.900,1.27000E-5,30,0.00
6.950,1.27000E-5,31,0.00
7.000,1.27000E-5,31,0.00
7.050,1.27000E-5,31,0.00
7.100,1.27000E-5,32,0.00
7.150,1.27000E-5,32,0.00
7.200,1.27000E-5,31,0.00
7.250,1.27000E-5,31,0.00
7.300,1.27000E-5,31,0.00
7.350,1.27000E-5,32,0.13
7.400,1.27000E-5,32,0.25
7.450,1.33350E-5,32,0.25
7.500,1.33350E-5,32,0.13
7.550,1.33350E-5,32,0.00
7.600,1.33350E-5,32,0.00
7.650,1.33350E-5,33,0.13
7.700,1.33350E-5,34,0.25
7.750,1.39700E-5,32,0.25
7.800,1.39700E-5,34,0.13
7.850,1.39700E-5,34,0.00
7.900,1.39700E-5,34,0.13
7.950,1.39700E-5,35,0.25
8.000,1.46050E-5,35,0.25
8.050,1.46050E-5,36,0.13
8.100,1.46050E-5,36,0.00
8.150,1.46050E-5,36,0.00
8.200,1.46050E-5,36,0.13
8.250,1.46050E-5,36,0.25
8.300,1.52400E-5,36,0.25
8.350,1.52400E-5,37,0.13
8.400,1.52400E-5,37,0.00
8.450,1.52400E-5,38,0.00
8.500,1.52400E-5,37,0.00
8.550,1.52400E-5,37,0.00
8.600,1.52400E-5,38,0.00
8.650,1.52400E-5,38,0.00
8.700,1.52400E-5,37,0.00
8.750,1.52400E-5,38,0.13
8.800,1.52400E-5,38,0.25
8.850,1.58750E-5,38,0.25
8.900,1.58750E-5,38,0.13
8.950,1.58750E-5,38,0.00
9.000,1.58750E-5,38,0.00
9.050,1.58750E-5,39,0.00
9.100,1.58750E-5,39,0.00
9.150,1.58750E-5,39,0.13
9.200,1.58750E-5,39,0.25
9.250,1.65100E-5,39,0.25
9.300,1.65100E-5,40,0.13
9.350,1.65100E-5,39,0.00
9.400,1.65100E-5,41,0.00
9.450,1.65100E-5,40,0.00
9.500,1.65100E-5,40,0.00
9.550,1.65100E-5,40,0.13
9.600,1.65100E-5,40,0.25
9.650,1.71450E-5,41,0.25
9.700,1.71450E-5,41,0.13
9.750,1.71450E-5,41,0.00
9.800,1.71450E-5,41,0.00
9.850,1.71450E-5,41,0.13
9.900,1.71450E-5,42,0.25
9.950,1.77800E-5,42,0.25
10.000,1.77800E-5,43,0.13
10.050,1.77800E-5,43,0.00
10.100,1.77800E-5,43,0.00
10.150,1.77800E-5,43,0.00
10.200,1.77800E-5,44,0.00
10.250,1.77800E-5,43,0.00
10.300,1.77800E-5,44,0.00
10.350,1.77800E-5,44,0.00
10.400,1.77800E-5,44,0.00
10.450,1.77800E-5,44,0.00
10.500,1.77800E-5,44,0.13
10.550,1.77800E-5,44,0.25
10.600,1.84150E-5,43,0.25
10.650,1.84150E-5,44,0.13
10.700,1.84150E-5,44,0.00
10.750,1.84150E-5,44,0.00
10.800,1.84150E-5,44,0.00
10.850,1.84150E-5,44,0.00
10.900,1.84150E-5,45,0.00
10.950,1.84150E-5,44,0.00
11.000,1.84150E-5,45,0.00
11.050,1.84150E-5,45,0.00
11.100,1.84150E-5,44,0.00
11.150,1.84150E-5,45,0.00
11.200,1.84150E-5,45,0.00
11.250,1.84150E-5,45,0.00
11.300,1.84150E-5,45,0.00
11.350,1.84150E-5,45,0.00
11.400,1.84150E-5,44,0.00
11.450,1.84150E-5,45,0.00
11.500,1.84150E-5,45,0.00
11.550,1.84150E-5,45,0.00
11.600,1.84150E-5,44,0.13
11.650,1.84150E-5,45,0.25
11.700,1.90500E-5,45,0.25
11.750,1.90500E-5,45,0.13
11.800,1.90500E-5,46,0.00
11.850,1.90500E-5,45,0.00
11.900,1.90500E-5,45,0.00
11.950,1.90500E-5,46,0.00
12.000,1.90500E-5,46,0.00
12.050,1.90500E-5,45,0.00
12.100,1.90500E-5,45,0.00
12.150,1.90500E-5,46,0.00
12.200,1.90500E-5,46,0.00
12.250,1.90500E-5,46,0.00
12.300,1.90500E-5,46,0.00
12.350,1.90500E-5,46,0.00
12.400,1.90500E-5,47,0.13
12.450,1.90500E-5,46,0.25
12.500,1.96850E-5,47,0.25
12.550,1.96850E-5,47,0.13
12.600,1.96850E-5,47,0.00
12.650,1.96850E-5,47,0.00
12.700,1.96850E-5,47,0.00
12.750,1.96850E-5,48,0.00
12.800,1.96850E-5,47,0.00
12.850,1.96850E-5,47,0.00
12.900,1.96850E-5,48,0.00
12.950,1.96850E-5,47,0.00
13.000,1.96850E-5,48,0.00
13.050,1.96850E-5,48,0.00
13.100,1.96850E-5,47,0.00
13.150,1.96850E-5,48,0.00
13.200,1.96850E-5,47,0.00
13.250,1.96850E-5,48,0.00
13.300,1.96850E-5,48,0.00
13.350,1.96850E-5,49,0.00
13.400,1.96850E-5,48,0.13
13.450,1.96850E-5,48,0.25
13.500,2.03200E-5,48,0.25
13.550,2.03200E-5,49,0.13
13.600,2.03200E-5,49,0.00
13.650,2.03200E-5,49,0.00
13.700,2.03200E-5,49,0.13
13.750,2.03200E-5,50,0.25
13.800,2.09550E-5,50,0.38
13.850,2.09550E-5,51,0.38
13.900,2.15900E-5,52,0.38
13.950,2.15900E-5,52,0.38
14.000,2.22250E-5,53,0.25
14.050,2.22250E-5,54,0.13
14.100,2.22250E-5,54,0.00
14.150,2.22250E-5,54,0.00
14.200,2.22250E-5,54,0.00
14.250,2.22250E-5,54,0.00
14.300,2.22250E-5,54,0.00
14.350,2.22250E-5,55,0.13
14.400,2.22250E-5,55,0.25
14.450,2.28600E-5,54,0.25
14.500,2.28600E-5,56,0.13
14.550,2.28600E-5,56,0.13
14.600,2.28600E-5,55,0.25
14.650,2.34950E-5,57,0.25
14.700,2.34950E-5,57,0.13
14.750,2.34950E-5,57,0.00
14.800,2.34950E-5,57,0.00
14.850,2.34950E-5,57,0.13
14.900,2.34950E-5,58,0.25
14.950,2.41300E-5,58,0.25
15.000,2.41300E-5,58,0.13
15.050,2.41300E-5,58,0.00
15.100,2.41300E-5,59,0.00
