"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,1,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,1,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,1,0.00
0.750,0.00000,1,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,1,0.00
1.300,0.00000,0,0.00
1.350,0.00000,1,0.00
1.400,0.00000,1,0.00
1.450,0.00000,1,0.00
1.500,0.00000,0,0.00
1.550,0.00000,0,0.00
1.600,0.00000,1,0.00
1.650,0.00000,0,0.13
1.700,0.00000,0,0.38
1.750,6.35000E-7,1,0.51
1.800,1.27000E-6,2,0.51
1.850,1.27000E-6,2,0.51
1.900,1.90500E-6,2,0.64
1.950,2.54000E-6,4,0.76
2.000,3.17500E-6,5,0.64
2.050,3.81000E-6,5,0.51
2.100,3.81000E-6,6,0.38
2.150,4.44500E-6,6,0.25
2.200,4.44500E-6,6,0.25
2.250,4.44500E-6,6,0.51
2.300,5.08000E-6,6,0.76
2.350,6.35000E-6,8,0.76
2.400,6.35000E-6,9,0.64
2.450,6.98500E-6,9,0.64
2.500,7.62000E-6,10,0.76
2.550,8.25500E-6,10,0.76
2.600,8.89000E-6,11,0.76
2.650,9.52500E-6,13,0.64
2.700,1.01600E-5,13,0.51
2.750,1.01600E-5,13,0.38
2.800,1.07950E-5,14,0.38
2.850,1.07950E-5,15,0.51
2.900,1.14300E-5,15,0.51
2.950,1.20650E-5,16,0.38
3.000,1.20650E-5,15,0.25
3.050,1.20650E-5,15,0.38
3.100,1.27000E-5,16,0.63
3.150,1.33350E-5,17,0.76
3.200,1.39700E-5,18,0.63
3.250,1.46050E-5,19,0.51
3.300,1.46050E-5,19,0.38
3.350,1.52400E-5,19,0.38
3.400,1.52400E-5,19,0.51
3.450,1.58750E-5,20,0.64
3.500,1.65100E-5,21,0.76
3.550,1.71450E-5,22,0.63
3.600,1.77800E-5,23,0.51
3.650,1.77800E-5,23,0.38
3.700,1.84150E-5,24,0.38
3.750,1.84150E-5,23,0.38
3.800,1.90500E-5,24,0.38
3.850,1.90500E-5,25,0.38
3.900,1.96850E-5,25,0.38
3.950,1.96850E-5,26,0.38
4.000,2.03200E-5,25,0.38
4.050,2.03200E-5,25,0.51
4.100,2.09550E-5,26,0.51
4.150,2.15900E-5,27,0.38
4.200,2.15900E-5,27,0.25
4.250,2.15900E-5,27,0.25
4.300,2.22250E-5,29,0.38
4.350,2.22250E-5,29,0.38
