"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,1,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.13
1.400,0.00000,0,0.51
1.450,6.35000E-7,1,0.89
1.500,1.90500E-6,2,1.02
1.550,2.54000E-6,2,0.89
1.600,3.17500E-6,3,1.02
1.650,3.81000E-6,3,2.03
1.700,5.71500E-6,4,3.81
1.750,1.01600E-5,7,5.21
1.800,1.58750E-5,10,4.70
1.850,1.96850E-5,13,2.79
1.900,1.96850E-5,15,1.02
1.950,2.03200E-5,15,0.38
2.000,2.03200E-5,15,0.51
2.050,2.09550E-5,15,0.76
2.100,2.15900E-5,16,1.02
2.150,2.28600E-5,16,0.89
2.200,2.34950E-5,17,0.63
2.250,2.34950E-5,16,0.51
2.300,2.41300E-5,18,0.76
2.350,2.47650E-5,17,1.27
2.400,2.60350E-5,19,1.91
2.450,2.79400E-5,20,2.67
2.500,3.04800E-5,22,3.30
2.550,3.36550E-5,24,3.30
2.600,3.68300E-5,27,2.41
2.650,3.81000E-5,28,1.27
2.700,3.81000E-5,27,0.76
2.750,3.87350E-5,29,0.89
2.800,4.00050E-5,28,1.14
2.850,4.06400E-5,29,1.52
2.900,4.19100E-5,30,2.41
2.950,4.44500E-5,32,3.56
3.000,4.82600E-5,34,3.81
3.050,5.20700E-5,37,3.05
3.100,5.33400E-5,39,2.03
3.150,5.46100E-5,39,1.52
3.200,5.58800E-5,40,1.65
3.250,5.71500E-5,40,1.78
3.300,5.90550E-5,42,1.65
3.350,6.03250E-5,42,1.40
3.400,6.09600E-5,43,1.27
3.450,6.22300E-5,43,1.65
3.500,6.35000E-5,45,2.16
3.550,6.60400E-5,45,2.29
3.600,6.79450E-5,47,1.90
3.650,6.92150E-5,48,1.14
3.700,6.98500E-5,48,0.64
3.750,6.98500E-5,48,0.64
3.800,7.04850E-5,49,0.89
3.850,7.17550E-5,49,1.27
3.900,7.23900E-5,50,1.78
3.950,7.42950E-5,51,2.41
4.000,7.68350E-5,52,3.05
4.050,7.93750E-5,54,3.17
4.100,8.25500E-5,56,2.92
4.150,8.44550E-5,57,2.41
4.200,8.63600E-5,58,1.78
4.250,8.76300E-5,59,1.27
4.300,8.82650E-5,59,0.89
4.350,8.89000E-5,60,0.89
4.400,8.95350E-5,61,1.40
4.450,9.08050E-5,60,2.29
4.500,9.33450E-5,63,3.17
4.550,9.65200E-5,64,3.43
4.600,9.96950E-5,67,2.92
4.650,1.01600E-4,68,2.03
4.700,1.02870E-4,70,1.65
4.750,1.03505E-4,69,2.41
4.800,1.06045E-4,71,3.68
4.850,1.10490E-4,74,4.32
4.900,1.14300E-4,77,3.56
4.950,1.16840E-4,78,2.54
5.000,1.17475E-4,79,2.54
5.050,1.20015E-4,80,3.30
5.100,1.23825E-4,83,3.68
5.150,1.27000E-4,86,2.92
5.200,1.28905E-4,87,1.90
5.250,1.29540E-4,87,1.40
5.300,1.30810E-4,88,1.52
5.350,1.32080E-4,88,1.90
5.400,1.33985E-4,91,2.03
5.450,1.35890E-4,90,2.03
5.500,1.37160E-4,92,2.03
5.550,1.39065E-4,94,2.16
5.600,1.40970E-4,95,2.29
5.650,1.42875E-4,96,2.16
5.700,1.44780E-4,97,1.91
5.750,1.46050E-4,99,1.65
5.800,1.47320E-4,99,1.52
5.850,1.48590E-4,100,1.65
5.900,1.49860E-4,101,1.78
5.950,1.51765E-4,102,1.78
6.000,1.53035E-4,103,1.65
6.050,1.54305E-4,104,1.52
6.100,1.55575E-4,104,1.65
6.150,1.56845E-4,106,1.78
6.200,1.58750E-4,107,1.78
6.250,1.60020E-4,108,1.78
6.300,1.61290E-4,109,1.78
6.350,1.63195E-4,111,1.78
6.400,1.64465E-4,111,1.65
6.450,1.65735E-4,112,1.40
6.500,1.67005E-4,113,1.27
6.550,1.67640E-4,113,1.14
6.600,1.68910E-4,114,1.02
6.650,1.69545E-4,114,0.89
6.700,1.70180E-4,115,0.89
6.750,1.70815E-4,116,1.02
6.800,1.72085E-4,116,1.14
6.850,1.72720E-4,117,1.14
6.900,1.73990E-4,117,1.02
6.950,1.74625E-4,118,1.02
7.000,1.75260E-4,118,1.02
7.050,1.76530E-4,119,0.89
7.100,1.77165E-4,120,0.64
7.150,1.77165E-4,119,0.51
7.200,1.77800E-4,120,0.64
7.250,1.78435E-4,120,0.64
7.300,1.79070E-4,120,0.51
7.350,1.79070E-4,121,0.51
7.400,1.79705E-4,121,0.64
7.450,1.80340E-4,121,0.76
7.500,1.80975E-4,122,0.76
7.550,1.81610E-4,122,0.76
7.600,1.82245E-4,123,0.76
7.650,1.82880E-4,123,0.76
7.700,1.83515E-4,124,0.76
7.750,1.84150E-4,123,0.76
7.800,1.84785E-4,124,0.76
7.850,1.85420E-4,124,0.76
7.900,1.86055E-4,125,0.76
7.950,1.86690E-4,125,0.76
8.000,1.87325E-4,126,0.76
8.050,1.87960E-4,126,0.76
8.100,1.88595E-4,127,0.76
8.150,1.89230E-4,127,0.76
8.200,1.89865E-4,128,0.76
8.250,1.90500E-4,129,0.76
8.300,1.91135E-4,128,0.76
8.350,1.91770E-4,130,0.76
8.400,1.92405E-4,129,0.76
8.450,1.93040E-4,130,0.89
8.500,1.93675E-4,130,1.02
8.550,1.94945E-4,131,1.02
8.600,1.95580E-4,132,0.89
8.650,1.96215E-4,133,0.76
8.700,1.96850E-4,132,0.76
8.750,1.97485E-4,134,0.76
8.800,1.98120E-4,134,0.76
8.850,1.98755E-4,135,0.89
8.900,1.99390E-4,134,1.14
8.950,2.00660E-4,136,1.27
9.000,2.01930E-4,136,1.14
9.050,2.02565E-4,136,0.89
9.100,2.03200E-4,137,0.76
9.150,2.03835E-4,138,0.76
9.200,2.04470E-4,138,0.76
9.250,2.05105E-4,138,0.76
9.300,2.05740E-4,139,0.89
9.350,2.06375E-4,139,1.02
9.400,2.07645E-4,140,1.02
9.450,2.08280E-4,141,1.02
9.500,2.08915E-4,142,1.02
9.550,2.10185E-4,142,0.89
9.600,2.10820E-4,142,0.64
9.650,2.10820E-4,142,0.51
9.700,2.11455E-4,143,0.64
9.750,2.12090E-4,143,0.76
9.800,2.12725E-4,144,0.64
9.850,2.13360E-4,143,0.51
9.900,2.13360E-4,144,0.38
9.950,2.13995E-4,144,0.38
10.000,2.13995E-4,144,0.38
10.050,2.14630E-4,145,0.38
10.100,2.14630E-4,144,0.38
10.150,2.15265E-4,145,0.25
10.200,2.15265E-4,144,0.25
10.250,2.15265E-4,145,0.38
10.300,2.15900E-4,145,0.64
10.350,2.16535E-4,146,0.63
10.400,2.17170E-4,146,0.51
10.450,2.17170E-4,146,0.38
10.500,2.17805E-4,146,0.25
10.550,2.17805E-4,146,0.25
10.600,2.17805E-4,146,0.38
10.650,2.18440E-4,147,0.64
10.700,2.19075E-4,147,0.76
10.750,2.19710E-4,147,0.76
10.800,2.20345E-4,148,0.76
10.850,2.20980E-4,149,0.76
10.900,2.21615E-4,149,0.76
10.950,2.22250E-4,149,0.76
11.000,2.22885E-4,150,0.76
11.050,2.23520E-4,150,0.76
11.100,2.24155E-4,150,0.76
11.150,2.24790E-4,151,0.76
11.200,2.25425E-4,151,0.89
11.250,2.26060E-4,152,1.14
11.300,2.27330E-4,153,1.27
11.350,2.28600E-4,153,1.14
11.400,2.29235E-4,155,0.89
11.450,2.29870E-4,155,0.89
11.500,2.30505E-4,156,1.14
11.550,2.31775E-4,156,1.40
11.600,2.33045E-4,157,1.52
11.650,2.34315E-4,157,1.52
11.700,2.35585E-4,158,1.40
11.750,2.36855E-4,159,1.40
11.800,2.37490E-4,160,1.52
11.850,2.39395E-4,160,1.65
11.900,2.40665E-4,162,1.78
11.950,2.41935E-4,-19,1.78
12.000,2.43840E-4,-19,1.52
12.050,2.45110E-4,-19,1.02
12.100,2.45110E-4,-19,0.89
12.150,2.45745E-4,-19,1.40
12.200,2.47650E-4,-20,1.78
12.250,2.49555E-4,-19,1.40
12.300,2.50190E-4,-19,0.64
12.350,2.50190E-4,-19,0.13
12.400,2.50190E-4,-20,0.00
12.450,2.50190E-4,-19,0.00
12.500,2.50190E-4,-20,0.00
12.550,2.50190E-4,-19,0.00
