"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.25
1.250,0.00000,1,0.51
1.300,1.27000E-6,4,0.51
1.350,1.27000E-6,4,0.51
1.400,1.27000E-6,5,0.89
1.450,2.54000E-6,7,1.65
1.500,4.44500E-6,12,2.03
1.550,6.35000E-6,17,1.78
1.600,7.62000E-6,20,1.27
1.650,8.25500E-6,23,0.89
1.700,8.89000E-6,26,0.63
1.750,9.52500E-6,27,0.51
1.800,9.52500E-6,28,0.51
1.850,1.01600E-5,29,0.76
1.900,1.07950E-5,31,1.78
1.950,1.20650E-5,35,2.79
2.000,1.65100E-5,45,2.79
2.050,1.84150E-5,54,1.65
2.100,1.84150E-5,54,0.38
2.150,1.84150E-5,54,0.25
2.200,1.84150E-5,55,0.89
2.250,1.96850E-5,58,1.65
2.300,2.15900E-5,62,2.03
2.350,2.34950E-5,68,1.90
2.400,2.47650E-5,71,1.65
2.450,2.60350E-5,76,1.52
2.500,2.73050E-5,80,1.52
2.550,2.85750E-5,85,1.40
2.600,2.98450E-5,87,1.27
2.650,3.04800E-5,90,1.27
2.700,3.17500E-5,93,1.52
2.750,3.30200E-5,98,1.78
2.800,3.49250E-5,104,1.65
2.850,3.61950E-5,108,1.40
2.900,3.68300E-5,111,1.27
2.950,3.81000E-5,114,1.52
3.000,3.93700E-5,119,1.91
3.050,4.12750E-5,125,2.03
3.100,4.31800E-5,130,1.90
3.150,4.44500E-5,136,1.52
3.200,4.57200E-5,140,1.27
3.250,4.63550E-5,143,1.14
3.300,4.76250E-5,145,1.02
3.350,4.82600E-5,148,0.89
3.400,4.88950E-5,150,0.89
3.450,4.95300E-5,153,1.02
3.500,5.08000E-5,156,1.02
3.550,5.14350E-5,157,1.02
3.600,5.20700E-5,161,1.27
3.650,5.33400E-5,165,1.65
3.700,5.52450E-5,171,1.65
3.750,5.65150E-5,176,1.27
3.800,5.71500E-5,179,0.76
3.850,5.77850E-5,180,0.38
3.900,5.77850E-5,180,0.13
3.950,5.77850E-5,181,0.00
4.000,5.77850E-5,180,0.00
4.050,5.77850E-5,180,0.00
4.100,5.77850E-5,180,0.00
4.150,5.77850E-5,180,0.00
4.200,5.77850E-5,180,0.13
4.250,5.77850E-5,180,0.38
